,SourceID,RA,Dec,file_loc
116,100086435,,,/media/team_workspaces/astronomaly-project/images/18k-sample/100086435.jpeg
117,AHZ20015at,150.4038806,2.6085898,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20015at_300_300_3.jpeg
118,AHZ2001sty,150.1026509,2.8663183,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001sty_300_300_3.jpeg
119,AHZ2000xx9,150.226648,2.4437593,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000xx9_300_300_3.jpeg
120,UDS_10118,34.27657,-5.2198142999999995,/media/team_workspaces/astronomaly-project/images/18k-sample/UDS_10118.jpeg
121,4000708692191,11.6251376,42.1585771,/media/team_workspaces/astronomaly-project/images/18k-sample/4000708692191.jpeg
122,AHZ20010na,149.9963945,2.3026108,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20010na_300_300_3.jpeg
123,76605936,,,/media/team_workspaces/astronomaly-project/images/18k-sample/76605936.jpeg
124,AHZ2000h1d,150.3960726,2.0581569,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000h1d_300_300_3.jpeg
125,4556772567,279.0413021,-23.829329,/media/team_workspaces/astronomaly-project/images/18k-sample/4556772567.jpeg
126,4178460094,325.11868239999995,-23.1834633,/media/team_workspaces/astronomaly-project/images/18k-sample/4178460094.jpeg
127,AHZ20015le,150.558922,2.5277186,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ20015le_300_300_3.jpeg
128,29575975,,,/media/team_workspaces/astronomaly-project/images/18k-sample/29575975.jpeg
129,AHZ200062t,149.8577709,1.7766651000000002,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ200062t_300_300_3.jpeg
130,AHZ100049j,214.8190739,52.8978884,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ100049j_300_300_3.jpeg
131,AHZ2001pvl,150.3736792,2.0060413,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001pvl_300_300_3.jpeg
132,AHZ2001b0v,149.6807271,2.5534765,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001b0v_300_300_3.jpeg
133,AHZ2001n7o,149.5952693,2.7922627999999996,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001n7o.jpeg
134,4233355484,53.04182629999999,-27.7259127,/media/team_workspaces/astronomaly-project/images/18k-sample/4233355484.jpeg
135,4233437807,201.436715,-47.5729735,/media/team_workspaces/astronomaly-project/images/18k-sample/4233437807.jpeg
136,AHZ2001i7e,149.8388712,2.7587214,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001i7e_300_300_3.jpeg
137,4000712859304,11.4637565,41.9836956,/media/team_workspaces/astronomaly-project/images/18k-sample/4000712859304.jpeg
138,AHZ100012n,214.4275813,52.4794701,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ100012n_300_300_3.jpeg
139,COS_17178,150.15176,2.3846571,/media/team_workspaces/astronomaly-project/images/18k-sample/COS_17178.jpeg
140,4552378069,189.3925317,62.1943573,/media/team_workspaces/astronomaly-project/images/18k-sample/4552378069.jpeg
141,AHZ2000ror,149.9176992,2.2480103,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2000ror_300_300_3.jpeg
142,AHZ2001ovf,150.1549618,1.6262253,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001ovf_300_300_3.jpeg
143,4177572076,279.122018,-23.9071011,/media/team_workspaces/astronomaly-project/images/18k-sample/4177572076.jpeg
144,COS_3617,150.08965,2.2148764,/media/team_workspaces/astronomaly-project/images/18k-sample/COS_3617.jpeg
145,AHZ2001rmt,150.5341676,2.4595661,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001rmt_300_300_3.jpeg
146,AHZ2001a2g,149.8221994,2.5488607,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001a2g_300_300_3.jpeg
147,AHZ2001ebg,150.4336859,2.7136319,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001ebg_300_300_3.jpeg
148,4110460963,231.9981599,-50.6538783,/media/team_workspaces/astronomaly-project/images/18k-sample/4110460963.jpeg
149,AHZ40002ll,52.9754657,-27.8646523,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ40002ll_300_300_3.jpeg
150,4000710666705,11.4952076,42.1548124,/media/team_workspaces/astronomaly-project/images/18k-sample/4000710666705.jpeg
151,94067140,,,/media/team_workspaces/astronomaly-project/images/18k-sample/94067140.jpeg
152,AHZ2001qi9,150.0864514,2.1757231,/media/team_workspaces/astronomaly-project/images/18k-sample/AHZ2001qi9_300_300_3.jpeg
