,SourceID,reps_x,reps_y,file_loc
63,AHZ2000uij,0.9928221,6.109718,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000uij.jpeg
64,4000712963244,11.600402,11.239447,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000712963244.jpeg
65,AHZ2001iq9,-1.5138695,5.956298,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001iq9.jpeg
66,4174980194,-0.21276763,13.532518,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4174980194.jpeg
67,AHZ20010mk,-1.7779146,4.946955,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20010mk_300_300_3.jpeg
68,1028705,2.9589038,10.02882,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/1028705.jpeg
69,AHZ2000w49,-1.2771633,8.9630165,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000w49.jpeg
70,4556350067,-0.11747413,15.165343,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4556350067.jpeg
71,AHZ2001t0n,-3.7759356,11.977501,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001t0n_300_300_3.jpeg
72,AHZ2000x1s,-3.9396522,9.808954,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000x1s_300_300_3.jpeg
73,4000714962319,12.140903,11.585912,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000714962319.jpeg
74,AHZ20010sf,-4.0800667,10.947346,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20010sf_300_300_3.jpeg
75,4000709705956,3.30282,7.0483885,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000709705956.jpeg
76,12321618,0.53390586,11.080346,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/12321618.jpeg
77,AHZ200084d,-2.820168,11.032037,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ200084d_300_300_3.jpeg
78,AHZ2001jap,-0.61582386,6.1288877,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001jap_300_300_3.jpeg
79,82703319,-2.7744887,8.4208145,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/82703319.jpeg
80,COS_9592,-3.8997512,7.081798,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/COS_9592.jpeg
81,AHZ20000o8,-2.0522213,6.2073936,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ20000o8_300_300_3.jpeg
82,3930994,-0.8100027,11.115051,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/3930994.jpeg
83,AHZ2001sml,0.12492088,7.333708,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001sml_300_300_3.jpeg
84,50839615,0.9148196,8.34487,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/50839615.jpeg
85,4555429935,-1.396748,12.249496,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4555429935.jpeg
86,AGZ00080gs,-0.77262276,6.082538,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AGZ00080gs.jpeg
87,AHZ40008mu,-1.6538694,9.177474,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ40008mu_300_300_3.jpeg
88,4000710619749,11.618852,10.122163,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4000710619749.jpeg
89,6000268374606,-0.27721518,6.121513,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/6000268374606.jpeg
90,587739609164087521,2.4061134,4.9744053,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/587739609164087521.jpeg
91,AHZ2001tgd,-0.0001538723,8.364105,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001tgd.jpeg
92,AHZ2000omb,-2.5974,6.5847774,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000omb_300_300_3.jpeg
93,AHZ2000039,-1.1470526,10.374456,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2000039_300_300_3.jpeg
94,4233113937,7.1093984,11.2746315,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/4233113937.jpeg
95,UDS_4088,3.4173152,7.080566,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/UDS_4088.jpeg
96,AHZ2001qin,-1.7809849,7.9713316,/media/team_workspaces/Astronomaly-meets-Datalabs/images/18k-sample/AHZ2001qin_300_300_3.jpeg
